#pid	label	UserInfo_FollowCount	UserInfo_FollowedCount	UserInfo_FollowFollowedRatio	UserInfo_RegTime	UserInfo_HasMobile	UserInfo_HasBirth	UserInfo_HasSex	UserInfo_IsMale	UserInfo_IsFemale	UserInfo_IsGroupOwner	UserInfo_MaxLevel	UserInfo_FourmNum	UserInfo_LevelMean	UserInfo_LevelVar	UserInfo_NowLevel	UserInfo_UnamePattern0	UserInfo_UnamePattern1	UserInfo_UnamePattern2	UserInfo_UnameIsEnNum	UserInfo_IsQQName	ForumInfo_ForumInfo	ForumInfo_Level2Info	ForumInfo_Level1Info	ForumInfo_RankInfo	ForumInfo_RankMean	ForumInfo_RankVar	ForumInfo_NowRank	ForumInfo_FormTitleMatchRatio	ForumInfo_Level1Name0	ForumInfo_Level1Name1	ForumInfo_Level1Name2	ForumInfo_Level1Name3	ForumInfo_Level1Name4	ForumInfo_Level1Name5	ForumInfo_Level1Name6	ForumInfo_Level1Name7	ForumInfo_Level1Name8	ForumInfo_Level1Name9	ForumInfo_Level1Name10	ForumInfo_Level1Name11	ForumInfo_Level1Name12	ForumInfo_Level1Name13	ForumInfo_Level1Name14	ForumInfo_Level1Name15	ForumInfo_Level1Name16	ForumInfo_Level1Name17	ForumInfo_Level1Name18	ForumInfo_Level1Name19	ForumInfo_Level1Name20	ForumInfo_Level1Name21	ForumInfo_Level1Name22	ForumInfo_Level1Name23	ForumInfo_Level1Name24	ForumInfo_Level1Name25	ForumInfo_Level1Name26	ForumInfo_Level1Name27	ForumInfo_Level1Name28	ContentSim_AvgSimByThread1	ContentSim_AvgSimByForum	ContentSim_AvgSimByThread2	ContentSim_Top2ContentsSim	TitleSim_AvgSimByThread	TitleSim_AvgSimByForum	TitleSim_Top2TitleSim	RepeatString_TextLengthMean	RepeatString_TextLengthVar	RepeatString_TextCnLengthMean	RepeatString_TextCnLengthVar	RepeatString_NowLength	RepeatString_NowCnLength	RepeatString_NowCnRatio	RepeatString_CnRatio	RepeatString_ThreadTextLengthMean	RepeatString_ThreadTextLengthVar	RepeatString_ReplyTextLengthMean	RepeatString_ReplyTextLengthVar	UrlWeight_NowUrlScore	UrlWeight_NowHasVideo	UrlWeight_NowHasEmail	UrlWeight_NowHasPic	UrlWeight_UrlScoreAvg	UrlWeight_UrlScoreAvgMultTextLength	UrlWeight_UrlScoreMin	UrlWeight_UrlScoreMax	UrlWeight_UrlRatio	UrlWeight_PicRatio	UrlWeight_PicRatioMultTextLength	UrlWeight_EmailRatio	UrlWeight_VideoRatio	UrlWeight_VideoRatioMultTextLength	UrlWeight_AnyRatio	UrlWeight_AnyRatioMultTextLength	UrlWeight_UniqueUrlRatio	UrlWeight_UniquePicRatio	UrlWeight_UniqueVideoRatio	NumberWeight_NumRatio	NumberWeight_UniqueNumRatio	NumberWeight_DeformNumRatio	UnusualChar_	UnusualCn_UnusualCnPostsRatio	UnusualCn_UnusualCnRatio	DictMatch_WhiteTitleRatio	DictMatch_NowBlackTitleCount	DictMatch_NowGrayTitleCount	DictMatch_NowBlackTitleCount2	DictMatch_NowGrayTitleCount2	DictMatch_NowBlackContentCount	DictMatch_NowGrayContentCount	DictMatch_NowBlackContentCount2	DictMatch_NowGrayContentCount2	DictMatch_BlackTitleRatio	DictMatch_GrayTitleRatio	DictMatch_BlackTitleRatio2	DictMatch_GrayTitleRatio2	DictMatch_BlackContentPerPost	DictMatch_GrayContentPerPost	DictMatch_BlackContentPerPost2	DictMatch_GrayContentPerPost2	DictMatch_TitleModifyRatio	DictMatch_ContentModifyRatio	LanguageModel_NowLmScore	LanguageModel_NowFirstLmScore	LanguageModel_NowLastLmScore	LanguageModel_LmScoreAvg	LanguageModel_FirstLmScoreAvg	LanguageModel_LastLmScoreAvg	LanguageModel_BadLmScoreAvg	LanguageModel_BadFirstLmScoreAvg	LanguageModel_BadLastLmScoreAvg	Trate_TrateNum	Trate_NowTrateScore	Trate_NowThreadTrateScore	Trate_NowReplyTrateScore	Trate_TrateMean	Trate_TrateVar	Trate_ThreadTrateMean	Trate_ThreadTrateVar	Trate_ReplyTrateMean	Trate_ReplyTrateVar	Trate_Bukets0	Trate_Bukets1	Trate_Bukets2	Trate_Bukets3	Trate_TBukets0	Trate_TBukets1	Trate_TBukets2	Trate_TBukets3	Trate_PBukets0	Trate_PBukets1	Trate_PBukets2	Trate_PBukets3	Trate_TrateMean2	Trate_TrateMean3	Trate_TrateMean4	Trate_TrateMean5	LTrate_TrateNum	LTrate_NowTrateScore	LTrate_NowThreadTrateScore	LTrate_NowReplyTrateScore	LTrate_TrateMean	LTrate_TrateVar	LTrate_ThreadTrateMean	LTrate_ThreadTrateVar	LTrate_ReplyTrateMean	LTrate_ReplyTrateVar	LTrate_Bukets0	LTrate_Bukets1	LTrate_Bukets2	LTrate_Bukets3	LTrate_TBukets0	LTrate_TBukets1	LTrate_TBukets2	LTrate_TBukets3	LTrate_PBukets0	LTrate_PBukets1	LTrate_PBukets2	LTrate_PBukets3	LTrate_TrateMean2	LTrate_TrateMean3	LTrate_TrateMean4	LTrate_TrateMean5	LTrate2_TrateNum	LTrate2_NowTrateScore	LTrate2_NowThreadTrateScore	LTrate2_NowReplyTrateScore	LTrate2_TrateMean	LTrate2_TrateVar	LTrate2_ThreadTrateMean	LTrate2_ThreadTrateVar	LTrate2_ReplyTrateMean	LTrate2_ReplyTrateVar	LTrate2_Bukets0	LTrate2_Bukets1	LTrate2_Bukets2	LTrate2_Bukets3	LTrate2_TBukets0	LTrate2_TBukets1	LTrate2_TBukets2	LTrate2_TBukets3	LTrate2_PBukets0	LTrate2_PBukets1	LTrate2_PBukets2	LTrate2_PBukets3	LTrate2_TrateMean2	LTrate2_TrateMean3	LTrate2_TrateMean4	LTrate2_TrateMean5	IPInfo_RecentLocs	IPInfo_RecentIps	IPInfo_RecentIpPrefix3	IPInfo_RecentIpPrefix2	IPInfo_RecentIpPrefix1	IPInfo_LocChanges	IPInfo_IpChanges	IPInfo_IpPrefix3Changes	IPInfo_IpPrefix2Changes	IPInfo_IpPrefix1Changes	IPInfo_ForeignIpRatio	MultiReplyTo_MultiReplyTo0	PostReplyRate_ThreadRatio	PostReplyRate_PostsNum	PostReplyRate_ThreadNum	PostReplyRate_UniqeThreadNum	PostReplyRate_UniqeThreadRatio	Time_TimeSpan0	Time_TimeSpan1	Time_TimeSpan2	Time_TimeSpan3	Time_TimeSpan4	Time_TimeSpanAvg	Time_TimeSpanVar	Time_HoursCovered	Time_NowTimeBin	Time_Bins0	Time_Bins1	Time_Bins2	Time_Bins3	Time_Bins4	Time_Bins5	DH_DH0	DH_DH1	DH_DH2	DH_DH3	DH_DH4	Sundry_PostType	Sundry_HistorySize	Sundry_PostsNumLast_1440_Minutes
_47477846037	0	3.29584	3.95124	-0.655407	5.80814	0	0	1	1	0	2	12	6	12	0	12	1	1	1	0	0	0	0	0	0	3.93183	0	3.93183	0.166667	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00694444	0.00694444	0	0	0.154264	0	0	1.6326	1.87291	1.57218	1.76851	8	6	0.777778	0.977048	5.0626	0	3.96087	2.48485	4.4	0	0	0	4.4	22.2754	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3.38393	3.38393	3.38393	2.69512	2.69512	2.69512	2.73414	2.73414	2.73414	6	0.1	0.1	0	0.1	2.31112e-34	0.1	0	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1	6	-1.54	-1.54	0	-1.44667	0.00234667	-1.54	0	-1.428	0.00032	0	1	0	0	0	1	0	0	0	1	0	0	-1.48	-1.46	-1.46	-1.452	6	-0.58	-0.58	0	-0.576667	6.66667e-05	-0.58	0	-0.576	8e-05	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.575	-0.576	1	1	1	1	1	0	1	1	1	1	0	0	0.166667	6	1	3	3	0	0	0	0	0	2.5	5.75	0.333333	5	0	0	0	0	0	1	0	0	0	0	1	1	6	6
_47495888933	0	1.60944	0	1.60944	6.95655	1	1	1	0	1	0	6	3	0	0	0	1	0	0	0	0	0.636514	0.636514	0.636514	0.636514	8.3841	4.38489	9.59308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.151587	0.151587	0	0.371429	0.118833	0.0315315	0.52381	3.07011	1.93841	2.86193	1.60552	24	16	0.68	0.94885	3.80045	0.67646	1.60944	0	4.4	0	0	0	4.4	16.722	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.24758	2.24758	2.24758	2.36306	2.36306	2.36306	2.36306	2.33101	2.55587	3	0.1	0.1	0	0.0833333	0.000833333	0.075	0.00125	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.075	0.0833333	0.0875	0.09	3	-1.6	-1.6	0	-1.46667	0.0137333	-1.51	0.0162	-1.38	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.51	-1.46667	-1.85	-2.08	3	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-1.185	-1.548	1	2	2	2	2	1	2	2	2	2	0	0	0.333333	3	2	3	1.5	0	0	0	0	0	2.5	5.75	0.333333	1	0	0.333333	0	0.666667	0	0	0	0	0	0	1	1	3	3
_47490122700	0	2.63906	1.38629	1.25276	5.76519	1	0	1	1	0	1	6	6	3.5	7.5	5	1	0	0	0	0	1.0114	0	0	0.450561	1.41356	1.90916	0.693147	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0530013	0.0530013	0	0.111111	0.0652299	0.0402299	0	1.7859	2.15759	1.76437	2.07196	6	6	1	0.99227	4.55633	1.52194	3.78779	2.99069	4.4	0	0	1	4.4	20.0479	4.4	4.4	0	0.5	2.27817	0	0	0	0.5	2.27817	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3.1821	3.1821	3.1821	2.43053	2.43053	2.43053	2.56262	2.62232	2.58416	6	0.1	0.1	0	0.1	2.31112e-34	0.1	0	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1	6	-1.18	-1.18	0	-1.23333	0.00762667	-1.195	0.00356667	-1.31	0.0098	0	1	0	0	0	1	0	0	0	1	0	0	-1.15	-1.17333	-1.19	-1.228	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	1	1	1	1	1	1	1	1	1	0	0	0.666667	6	4	6	1.5	0	0	0	0	0	2.5	5.75	0.666667	4	0	0	0.666667	0	0.166667	0.166667	0	0	0	0	1	1	6	6
_47494614697	0	0	0	0	5.93489	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	2.94444	0	2.94444	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.49981	0	4.11087	0	89	60	0.677778	0.929282	4.49981	0	0	0	4.4	0	0	0	4.4	19.7992	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0.166667	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.82415	3.18589	3.05245	2.82415	2.82415	2.82415	2.82415	3.18589	3.05245	1	0.1	0.1	0	0.1	0	0.1	0	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1	1	-1.6	-1.6	0	-1.6	0	-1.6	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-2.3	-2.53333	-2.65	-2.72	1	-0.58	-0.58	0	-0.58	0	-0.58	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.79	-2.19333	-2.395	-2.516	1	1	1	1	1	1	1	1	1	1	0	0	0.166667	1	1	1	1	0	0	0	0	0	2.5	5.75	0	2	0	0	1	0	0	0	0	0	0	0	1	1	1	1
_47487582453	0	1.38629	1.60944	-0.223144	5.27811	1	0	0	0	0	0	9	3	0	0	0	1	3	0	0	0	0	0	0	0	2.3979	0	2.3979	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0555556	0.0555556	0	0.0526316	0	0	0	3.30382	0.338834	2.91361	0.364683	47	36	0.770833	0.909333	3.8712	0	4.25053	1.44274	4.4	0	0	0	4.4	17.0333	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.65322	2.83756	2.85364	2.68814	2.68814	2.68814	2.68814	2.74958	2.75494	3	0.1	0.1	0	0.1	2.88889e-34	0.1	0	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1	3	-1.36	-1.36	0	-1.34	0.0012	-1.36	0	-1.33	0.0018	0	1	0	0	0	1	0	0	0	1	0	0	-1.33	-1.34	-1.755	-2.004	3	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-1.185	-1.548	1	1	1	1	1	0	1	1	1	1	0	0	0.166667	3	1	2	2	0	0	0	0	0	2.5	5.75	0.666667	5	0	0	0.333333	0	0	0.666667	0	0	0	0	1	1	3	3
_47485848231	0	4.35671	4.00733	0.349376	7.17089	1	1	1	1	0	2	11	6	11	0	11	1	1	1	0	0	0	0	0	0	2.3979	0	2.3979	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.771851	0.771851	0.333333	0.732558	0.165394	0	0	5.65542	0.205826	5.51771	0.188214	710	592	0.834037	0.979309	6.66185	0	5.47316	0.00816574	4.4	0	0	0	4.4	29.3122	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0.0462963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.66136	3.23142	2.46538	2.54642	2.54642	2.54642	2.55391	3.15838	3.03504	6	0.1	0.1	0	0.0583333	0.000416667	0.1	0	0.05	0	1	0	0	0	1	0	0	0	1	0	0	0	0.075	0.0666667	0.0625	0.06	6	-3.14	-3.14	0	-1.86333	0.405347	-3.14	0	-1.608	0.01772	0.166667	0.833333	0	0	1	0	0	0	0	1	0	0	-2.48	-2.20667	-2.035	-1.932	6	-0.58	-0.58	0	-0.583333	6.66667e-05	-0.58	0	-0.584	8e-05	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.586667	-0.585	-0.584	1	1	1	1	1	1	1	1	1	1	0	0	0.166667	6	1	4	4	0	0	0	0	0	2.5	5.75	0.333333	1	0	0.833333	0.166667	0	0	0	0	0	0	0	1	1	6	6
_47508647448	0	2.07944	2.3979	-0.318454	6.76964	0	1	1	0	1	0	10	1	10	0	10	0	0	0	0	0	0	0	0	0	3.93183	0	3.93183	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.09434	0	3.89182	0	59	48	0.816667	0.960245	5.18178	0	0	0	3.98	0	0	0	4.232	21.9293	3.56	4.4	0.166667	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.46856	3.65446	2.38301	2.46856	2.46856	2.46856	2.46856	3.65446	2.38301	1	0.1	0.1	0	0.1	0	0.1	0	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1	1	-0.64	-0.64	0	-0.64	0	-0.64	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.82	-2.21333	-2.41	-2.528	1	-0.58	-0.58	0	-0.58	0	-0.58	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.79	-2.19333	-2.395	-2.516	1	1	1	1	1	1	1	1	1	1	0	0	0.166667	1	1	1	1	0	0	0	0	0	2.5	5.75	0	4	0	0	0	0	1	0	0	0	0	0	1	1	1	1
_47480301378	0	4.51086	3.73767	0.77319	7.92335	0	0	1	1	0	0	9	1	0	0	0	2	2	2	0	0	0	0	0	0	3.04452	0	3.04452	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.70805	0	2.70805	0	14	14	1	1	5.09375	0	0	0	4.4	0	0	0	4.4	22.4125	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.51767	2.51767	2.51767	2.51767	2.51767	2.51767	2.51767	2.51767	2.51767	1	0.1	0.1	0	0.1	0	0.1	0	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1	1	-1.36	-1.36	0	-1.36	0	-1.36	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-2.18	-2.45333	-2.59	-2.672	1	-0.6	-0.6	0	-0.6	0	-0.6	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.8	-2.2	-2.4	-2.52	1	1	1	1	1	1	1	1	1	1	0	0	0.166667	1	1	1	1	0	0	0	0	0	2.5	5.75	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1
_47492501423	0	1.94591	1.09861	0.847298	4.91265	1	0	1	1	0	2	10	6	9.83333	0.166667	10	2	1	1	0	0	0.450561	0	0	0.450561	2.48403	0.0392863	2.56495	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235222	0.235222	0	0.483333	0.247554	0.07028	0	3.52539	1.06682	3.49703	1.0378	144	138	0.958621	0.993735	5.01728	0	3.32158	0.726261	4.4	0	0	0	4.4	22.076	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0.0588235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.04391	2.10987	2.5703	2.94869	2.94869	2.94869	3.12964	3.33618	3.30577	6	0.1	0.1	0	0.098	4.2e-05	0.1	0	0.0976	5.13e-05	1	0	0	0	1	0	0	0	1	0	0	0	0.0925	0.095	0.09625	0.097	6	-1.1	-1.1	0	-1.38667	0.0300267	-1.1	0	-1.444	0.01288	0	1	0	0	0	1	0	0	0	1	0	0	-1.27	-1.31333	-1.33	-1.336	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	2	2	1	1	1	2	2	1	1	0	0	0.166667	6	1	6	6	0	0	0	0	0	2.5	5.75	0.5	2	0	0	1	0	0	0	0	0	0	0	1	1	6	6
_47510260833	0	0	0	0	2.89037	0	0	0	0	0	0	2	1	2	0	2	2	2	2	0	0	0	0	0	0	1.09861	0	1.09861	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6.15486	0	0	0	4.4	0	0	1	4.4	27.0814	4.4	4.4	0	0.166667	1.02581	0	0	0	0.166667	1.02581	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	2.5	1	0.1	0.1	0	0.1	0	0.1	0	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1	1	-1.12	-1.12	0	-1.12	0	-1.12	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-2.06	-2.37333	-2.53	-2.624	1	-0.58	-0.58	0	-0.58	0	-0.58	0	-3	0	0	1	0	0	0	1	0	0	0	1	0	0	-1.79	-2.19333	-2.395	-2.516	1	1	1	1	1	1	1	1	1	1	0	0	0.166667	1	1	1	1	0	0	0	0	0	2.5	5.75	0	4	0	0	0	0	1	0	0	0	0	0	1	1	1	1
_47508629508	0	2.3979	3.29584	-0.897942	5.38907	1	0	1	1	0	2	9	6	7.5	13.5	9	2	3	1	0	0	0.450561	0.450561	0.450561	0	3.93183	0	3.93183	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102757	0.102757	0	0	0.273922	0	1	2.30018	4.21461	2.25223	4.14837	0	0	1	0.985471	6.85263	0.0516112	4.43021	1.34517	4.4	0	0	1	4.4	30.1516	4.4	4.4	0	0.5	3.42631	0	0	0	0.5	3.42631	1	1	1	0	1	0	0	0	0.0340909	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303014	0	0.303014	0	1	1	2.5	2.5	2.5	2.6072	2.6072	2.6072	2.69518	2.69518	2.69518	6	0.1	0.1	0	0.0916667	0.000416667	0.0833333	0.000833333	0.1	2.88889e-34	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.0833333	0.0875	0.09	6	-0.88	-0.88	0	-1.30333	0.171587	-0.933333	0.00853333	-1.67333	0.00973333	0	1	0	0	0	1	0	0	0	1	0	0	-0.88	-0.933333	-1.135	-1.252	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	1	1	1	1	1	1	1	1	1	0	0	0.5	6	3	5	1.66667	0	0	0	0	0	2.5	5.75	0.5	2	0	0	0.5	0	0.5	0	0	0	0	0	1	1	6	6
_47502386382	0	2.56495	1.38629	1.17865	5.76519	1	0	1	0	1	0	8	6	5.33333	17.0667	0	1	1	1	0	0	0.867563	0.636514	0.636514	0.867563	4.18389	1.23291	3.04452	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119748	0.119748	0	0.647059	0.125926	0	1	2.53748	2.08835	2.12969	1.98524	38	34	0.897436	0.884722	4.76217	2.4139	4.07769	1.44535	4.4	0	0	0	4.4	20.9536	4.4	4.4	0	0.5	2.38109	0	0	0	0.5	2.38109	1	1	1	0	1	0	0.421053	0	0.0869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2.84967	3.44441	2.76238	2.6397	2.6397	2.6397	2.66764	2.87935	2.73544	6	0.1	0.1	0	0.0946667	0.000170667	0.084	0.000512	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.084	0.0893333	0.092	0.0936	6	-1.54	-1.54	0	-1.49333	0.00314667	-1.53	0.0002	-1.475	0.00383333	0	1	0	0	0	1	0	0	0	1	0	0	-1.53	-1.54	-1.515	-1.496	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	1	1	1	1	1	1	1	1	1	0	0	0.333333	6	2	4	2	0	0	0	0	0	2.5	5.75	0.333333	1	0	0.666667	0	0.333333	0	0	0	0	0	0	1	1	6	6
_47476784203	0	0	3.91202	-3.91202	4.5326	1	0	1	1	0	2	7	6	7	0	7	1	0	0	0	0	0	0	0	0	3.93183	0	3.93183	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123732	0.123732	0	0.102564	0.077381	0	0	3.6016	1.93137	2.66376	0.72853	355	80	0.227528	0.796194	6.13773	0	3.862	2.00094	4.4	0	0	0	4.4	27.006	4.4	4.4	0	0	0	0	0	0	0	0	1	1	1	0.5	1.33333	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	3.64191	4.15143	3.66474	3.76754	3.76754	3.76754	3.90002	4.00192	3.90458	6	0.1	0.1	0	0.151167	0.0157082	0.1	0	0.1614	0.0188498	0.833333	0.166667	0	0	1	0	0	0	0.8	0.2	0	0	0.1	0.1	0.1	0.1	6	-1	-1	0	-1.22	0.03328	-1	0	-1.264	0.02708	0	1	0	0	0	1	0	0	0	1	0	0	-1.17	-1.24667	-1.285	-1.236	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	3	2	1	1	1	3	3	1	1	0	0.0166003	0.166667	6	1	2	2	0	0	0	0	0	2.5	5.75	0.666667	3	0	0	0	0.333333	0.333333	0.333333	0	0	0	0	1	1	6	6
_47521984326	0	2.07944	4.18965	-2.11021	6.34739	1	1	1	1	0	2	9	6	0	0	0	2	3	2	0	0	1.32966	1.0114	0.636514	1.0114	3.33002	2.96043	2.19722	0.666667	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0945906	0.0945906	0	0.184211	0.32923	0.309028	0	3.01882	0.362099	2.74627	0.476741	54	48	0.890909	0.932183	5.36129	0	4.39477	3.31051	4.4	0	0	1	4.4	23.5897	4.4	4.4	0	0.166667	0.893549	0	0	0	0.166667	0.893549	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333	0	0.333333	0	0	0	0	0	1	1	2.09738	2.36168	2.78453	2.55844	2.55844	2.55844	2.65065	2.66056	2.74513	6	0.1	0.1	0	0.1	2.31112e-34	0.1	0	0.1	0	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.1	6	-1.86	-1.86	0	-1.99333	0.0943467	-1.86	0	-2.02	0.1126	0	1	0	0	0	1	0	0	0	1	0	0	-1.95	-1.81333	-1.95	-1.932	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	1	1	1	1	1	1	1	1	1	0	0	0.166667	6	1	5	5	0	0	0	0	0	2.5	5.75	0.5	4	0	0	0	0	0.5	0.5	0	0	0	0	1	1	6	6
_47477113264	0	1.38629	1.09861	0.287682	6.47389	0	0	1	1	0	0	10	6	10	0	10	1	2	2	0	0	0	0	0	0	3.93183	0	3.93183	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143822	0.143822	0	0.142857	0.185803	0	0	2.75033	0.838547	2.70873	0.748379	18	18	1	0.988907	5.6219	0.207978	4.92597	0.00380658	4.4	0	0	1	4.4	24.7364	4.4	4.4	0	0.166667	0.936984	0	0	0	0.166667	0.936984	1	1	1	0	1	0	0	0	0.0377358	0	1	0	1	0	0	0	0	0	0.166667	0	0.166667	0	0	0	0	0	1	1	2.88392	2.88392	2.88392	3.20481	3.20481	3.20481	3.30925	3.37125	3.28737	6	0.1	0.1	0	0.0855	0.0005215	0.071	0.000673	0.1	2.88889e-34	1	0	0	0	1	0	0	0	1	0	0	0	0.1	0.1	0.1	0.0926	6	-1.24	-1.24	0	-1.36333	0.0283867	-1.32667	0.00813333	-1.4	0.0588	0	1	0	0	0	1	0	0	0	1	0	0	-1.46	-1.39333	-1.36	-1.352	6	-0.58	-0.58	0	-0.58	0	-0.58	0	-0.58	0	0	1	0	0	0	1	0	0	0	1	0	0	-0.58	-0.58	-0.58	-0.58	1	1	1	1	1	1	1	1	1	1	0	0	0.5	6	3	4	1.33333	0	0	0	0	0	2.5	5.75	0.333333	3	0	0	0	0.166667	0	0.833333	0	0	0	0	1	1	6	6
